2018-11-4,2.0,0.0,3.1,Yokohama
2018-11-5,0.0,1.7,2.2,Yokohama
2018-11-6,31.5,0.6,2.9,Yokohama
2018-11-7,0.0,2.0,3.1,Yokohama
2018-11-8,0.0,6.2,4.2,Yokohama
2018-11-9,6.0,0.0,2.8,Yokohama
2018-11-10,0.5,5.9,2.6,Yokohama
2018-11-11,0,4.9,2.2,Yokohama
2018-11-12,1.0,2.2,2.4,Yokohama
2018-11-13,1.0,0.0,2.6,Yokohama
2018-11-14,0.5,7.3,3.9,Yokohama
2018-11-15,0,10.0,3.1,Yokohama
2018-11-16,0,5.9,2.1,Yokohama
2018-11-17,0,8.1,2.7,Yokohama
2018-11-18,0.0,4.9,2.5,Yokohama
2018-11-19,3.0,0.2,2.4,Yokohama
2018-11-20,0.0,4.7,2.9,Yokohama
2018-11-21,2.0,9.1,2.3,Yokohama
2018-11-22,5.5,0.0,3.4,Yokohama
2018-11-23,0,8.4,3.5,Yokohama
2018-11-24,0,3.3,2.7,Yokohama
2018-11-25,0,8.7,2.8,Yokohama
2018-11-26,0,6.0,2.1,Yokohama
2018-11-27,2.5,5.4,2.2,Yokohama
2018-11-28,0.0,7.2,2.3,Yokohama
2018-11-29,0.5,5.2,2.8,Yokohama
2018-11-30,0,8.6,3.7,Yokohama
2018-12-1,0,8.4,3.3,Yokohama
2018-12-2,0.0,0.3,3.9,Yokohama
2018-12-3,0.0,1.4,1.7,Yokohama
2018-12-4,15.5,7.8,4.0,Yokohama
2018-12-5,0.0,4.2,3.8,Yokohama
2018-12-6,18.5,0.0,4.1,Yokohama
2018-12-7,0,4.2,2.3,Yokohama
2018-12-8,0,1.5,3.2,Yokohama
2018-12-9,0,0.8,5.1,Yokohama
2018-12-10,0,0.8,3.8,Yokohama
2018-12-11,6.5,0.6,4.7,Yokohama
2018-12-12,19.5,0.0,5.1,Yokohama
2018-12-13,0.0,1.0,3.8,Yokohama
2018-12-14,0,6.6,5.8,Yokohama
2018-12-15,0.0,4.7,5.0,Yokohama
2018-12-16,1.0,1.5,2.5,Yokohama
2018-12-17,5.0,4.1,2.0,Yokohama
2018-12-18,0,8.0,3.4,Yokohama
2018-12-19,0,9.2,3.2,Yokohama
2018-12-20,0,6.7,2.1,Yokohama
2018-12-21,0,9.1,2.2,Yokohama
2018-12-22,1.5,0.0,2.5,Yokohama
2018-12-23,2.5,0.2,2.3,Yokohama
2018-12-24,0,2.8,5.7,Yokohama
2018-12-25,0,8.9,2.7,Yokohama
2018-12-26,0,3.7,1.9,Yokohama
2018-12-27,0,7.7,2.7,Yokohama
2018-12-28,0,7.2,6.0,Yokohama
2018-12-29,0,7.5,3.9,Yokohama
2018-12-30,0,6.8,4.7,Yokohama
